�	NULL (U+0000)	00
𐧵	MEROITIC CURSIVE NUMBER NINE HUNDRED THOUSAND (U+109F5)	f090a7b5
𐧶	MEROITIC CURSIVE FRACTION ONE TWELFTH (U+109F6)	f090a7b6
𐧷	MEROITIC CURSIVE FRACTION TWO TWELFTHS (U+109F7)	f090a7b7
𐧸	MEROITIC CURSIVE FRACTION THREE TWELFTHS (U+109F8)	f090a7b8
𐧹	MEROITIC CURSIVE FRACTION FOUR TWELFTHS (U+109F9)	f090a7b9
𐧺	MEROITIC CURSIVE FRACTION FIVE TWELFTHS (U+109FA)	f090a7ba
𐧻	MEROITIC CURSIVE FRACTION SIX TWELFTHS (U+109FB)	f090a7bb
𐧼	MEROITIC CURSIVE FRACTION SEVEN TWELFTHS (U+109FC)	f090a7bc
𐧽	MEROITIC CURSIVE FRACTION EIGHT TWELFTHS (U+109FD)	f090a7bd
𐧾	MEROITIC CURSIVE FRACTION NINE TWELFTHS (U+109FE)	f090a7be
𐧿	MEROITIC CURSIVE FRACTION TEN TWELFTHS (U+109FF)	f090a7bf
𐨀	KHAROSHTHI LETTER A (U+10A00)	f090a880
𐨁	KHAROSHTHI VOWEL SIGN I (U+10A01)	f090a881
𐨂	KHAROSHTHI VOWEL SIGN U (U+10A02)	f090a882
𐨃	KHAROSHTHI VOWEL SIGN VOCALIC R (U+10A03)	f090a883
𐨅	KHAROSHTHI VOWEL SIGN E (U+10A05)	f090a885
𐨆	KHAROSHTHI VOWEL SIGN O (U+10A06)	f090a886
𐨌	KHAROSHTHI VOWEL LENGTH MARK (U+10A0C)	f090a88c
𐨍	KHAROSHTHI SIGN DOUBLE RING BELOW (U+10A0D)	f090a88d
𐨎	KHAROSHTHI SIGN ANUSVARA (U+10A0E)	f090a88e
𐨏	KHAROSHTHI SIGN VISARGA (U+10A0F)	f090a88f
𐨐	KHAROSHTHI LETTER KA (U+10A10)	f090a890
𐨑	KHAROSHTHI LETTER KHA (U+10A11)	f090a891
𐨒	KHAROSHTHI LETTER GA (U+10A12)	f090a892
𐨓	KHAROSHTHI LETTER GHA (U+10A13)	f090a893
𐨕	KHAROSHTHI LETTER CA (U+10A15)	f090a895
𐨖	KHAROSHTHI LETTER CHA (U+10A16)	f090a896
𐨗	KHAROSHTHI LETTER JA (U+10A17)	f090a897
𐨙	KHAROSHTHI LETTER NYA (U+10A19)	f090a899
𐨚	KHAROSHTHI LETTER TTA (U+10A1A)	f090a89a
𐨛	KHAROSHTHI LETTER TTHA (U+10A1B)	f090a89b
𐨜	KHAROSHTHI LETTER DDA (U+10A1C)	f090a89c
𐨝	KHAROSHTHI LETTER DDHA (U+10A1D)	f090a89d
𐨞	KHAROSHTHI LETTER NNA (U+10A1E)	f090a89e
𐨟	KHAROSHTHI LETTER TA (U+10A1F)	f090a89f
𐨠	KHAROSHTHI LETTER THA (U+10A20)	f090a8a0
𐨡	KHAROSHTHI LETTER DA (U+10A21)	f090a8a1
𐨢	KHAROSHTHI LETTER DHA (U+10A22)	f090a8a2
𐨣	KHAROSHTHI LETTER NA (U+10A23)	f090a8a3
𐨤	KHAROSHTHI LETTER PA (U+10A24)	f090a8a4
𐨥	KHAROSHTHI LETTER PHA (U+10A25)	f090a8a5
𐨦	KHAROSHTHI LETTER BA (U+10A26)	f090a8a6
𐨧	KHAROSHTHI LETTER BHA (U+10A27)	f090a8a7
𐨨	KHAROSHTHI LETTER MA (U+10A28)	f090a8a8
𐨩	KHAROSHTHI LETTER YA (U+10A29)	f090a8a9
𐨪	KHAROSHTHI LETTER RA (U+10A2A)	f090a8aa
𐨫	KHAROSHTHI LETTER LA (U+10A2B)	f090a8ab
𐨬	KHAROSHTHI LETTER VA (U+10A2C)	f090a8ac
𐨭	KHAROSHTHI LETTER SHA (U+10A2D)	f090a8ad
𐨮	KHAROSHTHI LETTER SSA (U+10A2E)	f090a8ae
𐨯	KHAROSHTHI LETTER SA (U+10A2F)	f090a8af
𐨰	KHAROSHTHI LETTER ZA (U+10A30)	f090a8b0
𐨱	KHAROSHTHI LETTER HA (U+10A31)	f090a8b1
𐨲	KHAROSHTHI LETTER KKA (U+10A32)	f090a8b2
𐨳	KHAROSHTHI LETTER TTTHA (U+10A33)	f090a8b3
𐨴	KHAROSHTHI LETTER TTTA (U+10A34)	f090a8b4
𐨵	KHAROSHTHI LETTER VHA (U+10A35)	f090a8b5
𐨸	KHAROSHTHI SIGN BAR ABOVE (U+10A38)	f090a8b8
𐨹	KHAROSHTHI SIGN CAUDA (U+10A39)	f090a8b9
𐨺	KHAROSHTHI SIGN DOT BELOW (U+10A3A)	f090a8ba
𐨿	KHAROSHTHI VIRAMA (U+10A3F)	f090a8bf
𐩀	KHAROSHTHI DIGIT ONE (U+10A40)	f090a980
𐩁	KHAROSHTHI DIGIT TWO (U+10A41)	f090a981
𐩂	KHAROSHTHI DIGIT THREE (U+10A42)	f090a982
𐩃	KHAROSHTHI DIGIT FOUR (U+10A43)	f090a983
𐩄	KHAROSHTHI NUMBER TEN (U+10A44)	f090a984
𐩅	KHAROSHTHI NUMBER TWENTY (U+10A45)	f090a985
𐩆	KHAROSHTHI NUMBER ONE HUNDRED (U+10A46)	f090a986
𐩇	KHAROSHTHI NUMBER ONE THOUSAND (U+10A47)	f090a987
𐩈	KHAROSHTHI FRACTION ONE HALF (U+10A48)	f090a988
𐩐	KHAROSHTHI PUNCTUATION DOT (U+10A50)	f090a990
𐩑	KHAROSHTHI PUNCTUATION SMALL CIRCLE (U+10A51)	f090a991
𐩒	KHAROSHTHI PUNCTUATION CIRCLE (U+10A52)	f090a992
𐩓	KHAROSHTHI PUNCTUATION CRESCENT BAR (U+10A53)	f090a993
𐩔	KHAROSHTHI PUNCTUATION MANGALAM (U+10A54)	f090a994
𐩕	KHAROSHTHI PUNCTUATION LOTUS (U+10A55)	f090a995
𐩖	KHAROSHTHI PUNCTUATION DANDA (U+10A56)	f090a996
𐩗	KHAROSHTHI PUNCTUATION DOUBLE DANDA (U+10A57)	f090a997
𐩘	KHAROSHTHI PUNCTUATION LINES (U+10A58)	f090a998
𐩠	OLD SOUTH ARABIAN LETTER HE (U+10A60)	f090a9a0
𐩡	OLD SOUTH ARABIAN LETTER LAMEDH (U+10A61)	f090a9a1
𐩢	OLD SOUTH ARABIAN LETTER HETH (U+10A62)	f090a9a2
𐩣	OLD SOUTH ARABIAN LETTER MEM (U+10A63)	f090a9a3
𐩤	OLD SOUTH ARABIAN LETTER QOPH (U+10A64)	f090a9a4
𐩥	OLD SOUTH ARABIAN LETTER WAW (U+10A65)	f090a9a5
𐩦	OLD SOUTH ARABIAN LETTER SHIN (U+10A66)	f090a9a6
𐩧	OLD SOUTH ARABIAN LETTER RESH (U+10A67)	f090a9a7
𐩨	OLD SOUTH ARABIAN LETTER BETH (U+10A68)	f090a9a8
𐩩	OLD SOUTH ARABIAN LETTER TAW (U+10A69)	f090a9a9
𐩪	OLD SOUTH ARABIAN LETTER SAT (U+10A6A)	f090a9aa
𐩫	OLD SOUTH ARABIAN LETTER KAPH (U+10A6B)	f090a9ab
𐩬	OLD SOUTH ARABIAN LETTER NUN (U+10A6C)	f090a9ac
𐩭	OLD SOUTH ARABIAN LETTER KHETH (U+10A6D)	f090a9ad
𐩮	OLD SOUTH ARABIAN LETTER SADHE (U+10A6E)	f090a9ae
𐩯	OLD SOUTH ARABIAN LETTER SAMEKH (U+10A6F)	f090a9af
𐩰	OLD SOUTH ARABIAN LETTER FE (U+10A70)	f090a9b0
𐩱	OLD SOUTH ARABIAN LETTER ALEF (U+10A71)	f090a9b1
𐩲	OLD SOUTH ARABIAN LETTER AYN (U+10A72)	f090a9b2
𐩳	OLD SOUTH ARABIAN LETTER DHADHE (U+10A73)	f090a9b3
𐩴	OLD SOUTH ARABIAN LETTER GIMEL (U+10A74)	f090a9b4
𐩵	OLD SOUTH ARABIAN LETTER DALETH (U+10A75)	f090a9b5
𐩶	OLD SOUTH ARABIAN LETTER GHAYN (U+10A76)	f090a9b6
𐩷	OLD SOUTH ARABIAN LETTER TETH (U+10A77)	f090a9b7
𐩸	OLD SOUTH ARABIAN LETTER ZAYN (U+10A78)	f090a9b8
𐩹	OLD SOUTH ARABIAN LETTER DHALETH (U+10A79)	f090a9b9
𐩺	OLD SOUTH ARABIAN LETTER YODH (U+10A7A)	f090a9ba
𐩻	OLD SOUTH ARABIAN LETTER THAW (U+10A7B)	f090a9bb
𐩼	OLD SOUTH ARABIAN LETTER THETH (U+10A7C)	f090a9bc
𐩽	OLD SOUTH ARABIAN NUMBER ONE (U+10A7D)	f090a9bd
𐩾	OLD SOUTH ARABIAN NUMBER FIFTY (U+10A7E)	f090a9be
𐩿	OLD SOUTH ARABIAN NUMERIC INDICATOR (U+10A7F)	f090a9bf
𐪀	OLD NORTH ARABIAN LETTER HEH (U+10A80)	f090aa80
𐪁	OLD NORTH ARABIAN LETTER LAM (U+10A81)	f090aa81
𐪂	OLD NORTH ARABIAN LETTER HAH (U+10A82)	f090aa82
𐪃	OLD NORTH ARABIAN LETTER MEEM (U+10A83)	f090aa83
𐪄	OLD NORTH ARABIAN LETTER QAF (U+10A84)	f090aa84
𐪅	OLD NORTH ARABIAN LETTER WAW (U+10A85)	f090aa85
𐪆	OLD NORTH ARABIAN LETTER ES-2 (U+10A86)	f090aa86
𐪇	OLD NORTH ARABIAN LETTER REH (U+10A87)	f090aa87
𐪈	OLD NORTH ARABIAN LETTER BEH (U+10A88)	f090aa88
𐪉	OLD NORTH ARABIAN LETTER TEH (U+10A89)	f090aa89
𐪊	OLD NORTH ARABIAN LETTER ES-1 (U+10A8A)	f090aa8a
𐪋	OLD NORTH ARABIAN LETTER KAF (U+10A8B)	f090aa8b
𐪌	OLD NORTH ARABIAN LETTER NOON (U+10A8C)	f090aa8c
𐪍	OLD NORTH ARABIAN LETTER KHAH (U+10A8D)	f090aa8d
𐪎	OLD NORTH ARABIAN LETTER SAD (U+10A8E)	f090aa8e
𐪏	OLD NORTH ARABIAN LETTER ES-3 (U+10A8F)	f090aa8f
𐪐	OLD NORTH ARABIAN LETTER FEH (U+10A90)	f090aa90
𐪑	OLD NORTH ARABIAN LETTER ALEF (U+10A91)	f090aa91
𐪒	OLD NORTH ARABIAN LETTER AIN (U+10A92)	f090aa92
𐪓	OLD NORTH ARABIAN LETTER DAD (U+10A93)	f090aa93
𐪔	OLD NORTH ARABIAN LETTER GEEM (U+10A94)	f090aa94
𐪕	OLD NORTH ARABIAN LETTER DAL (U+10A95)	f090aa95
𐪖	OLD NORTH ARABIAN LETTER GHAIN (U+10A96)	f090aa96
𐪗	OLD NORTH ARABIAN LETTER TAH (U+10A97)	f090aa97
𐪘	OLD NORTH ARABIAN LETTER ZAIN (U+10A98)	f090aa98
𐪙	OLD NORTH ARABIAN LETTER THAL (U+10A99)	f090aa99
𐪚	OLD NORTH ARABIAN LETTER YEH (U+10A9A)	f090aa9a
𐪛	OLD NORTH ARABIAN LETTER THEH (U+10A9B)	f090aa9b
𐪜	OLD NORTH ARABIAN LETTER ZAH (U+10A9C)	f090aa9c
𐪝	OLD NORTH ARABIAN NUMBER ONE (U+10A9D)	f090aa9d
𐪞	OLD NORTH ARABIAN NUMBER TEN (U+10A9E)	f090aa9e
𐪟	OLD NORTH ARABIAN NUMBER TWENTY (U+10A9F)	f090aa9f
𐫀	MANICHAEAN LETTER ALEPH (U+10AC0)	f090ab80
𐫁	MANICHAEAN LETTER BETH (U+10AC1)	f090ab81
𐫂	MANICHAEAN LETTER BHETH (U+10AC2)	f090ab82
𐫃	MANICHAEAN LETTER GIMEL (U+10AC3)	f090ab83
𐫄	MANICHAEAN LETTER GHIMEL (U+10AC4)	f090ab84
𐫅	MANICHAEAN LETTER DALETH (U+10AC5)	f090ab85
𐫆	MANICHAEAN LETTER HE (U+10AC6)	f090ab86
𐫇	MANICHAEAN LETTER WAW (U+10AC7)	f090ab87
𐫈	MANICHAEAN SIGN UD (U+10AC8)	f090ab88
𐫉	MANICHAEAN LETTER ZAYIN (U+10AC9)	f090ab89
𐫊	MANICHAEAN LETTER ZHAYIN (U+10ACA)	f090ab8a
𐫋	MANICHAEAN LETTER JAYIN (U+10ACB)	f090ab8b
𐫌	MANICHAEAN LETTER JHAYIN (U+10ACC)	f090ab8c
𐫍	MANICHAEAN LETTER HETH (U+10ACD)	f090ab8d
𐫎	MANICHAEAN LETTER TETH (U+10ACE)	f090ab8e
𐫏	MANICHAEAN LETTER YODH (U+10ACF)	f090ab8f
𐫐	MANICHAEAN LETTER KAPH (U+10AD0)	f090ab90
𐫑	MANICHAEAN LETTER XAPH (U+10AD1)	f090ab91
𐫒	MANICHAEAN LETTER KHAPH (U+10AD2)	f090ab92
𐫓	MANICHAEAN LETTER LAMEDH (U+10AD3)	f090ab93
𐫔	MANICHAEAN LETTER DHAMEDH (U+10AD4)	f090ab94
𐫕	MANICHAEAN LETTER THAMEDH (U+10AD5)	f090ab95
𐫖	MANICHAEAN LETTER MEM (U+10AD6)	f090ab96
𐫗	MANICHAEAN LETTER NUN (U+10AD7)	f090ab97
𐫘	MANICHAEAN LETTER SAMEKH (U+10AD8)	f090ab98
𐫙	MANICHAEAN LETTER AYIN (U+10AD9)	f090ab99
𐫚	MANICHAEAN LETTER AAYIN (U+10ADA)	f090ab9a
𐫛	MANICHAEAN LETTER PE (U+10ADB)	f090ab9b
𐫜	MANICHAEAN LETTER FE (U+10ADC)	f090ab9c
𐫝	MANICHAEAN LETTER SADHE (U+10ADD)	f090ab9d
𐫞	MANICHAEAN LETTER QOPH (U+10ADE)	f090ab9e
𐫟	MANICHAEAN LETTER XOPH (U+10ADF)	f090ab9f
𐫠	MANICHAEAN LETTER QHOPH (U+10AE0)	f090aba0
𐫡	MANICHAEAN LETTER RESH (U+10AE1)	f090aba1
𐫢	MANICHAEAN LETTER SHIN (U+10AE2)	f090aba2
𐫣	MANICHAEAN LETTER SSHIN (U+10AE3)	f090aba3
𐫤	MANICHAEAN LETTER TAW (U+10AE4)	f090aba4
𐫥	MANICHAEAN ABBREVIATION MARK ABOVE (U+10AE5)	f090aba5
𐫦	MANICHAEAN ABBREVIATION MARK BELOW (U+10AE6)	f090aba6
𐫫	MANICHAEAN NUMBER ONE (U+10AEB)	f090abab
𐫬	MANICHAEAN NUMBER FIVE (U+10AEC)	f090abac
𐫭	MANICHAEAN NUMBER TEN (U+10AED)	f090abad
𐫮	MANICHAEAN NUMBER TWENTY (U+10AEE)	f090abae
𐫯	MANICHAEAN NUMBER ONE HUNDRED (U+10AEF)	f090abaf
𐫰	MANICHAEAN PUNCTUATION STAR (U+10AF0)	f090abb0
𐫱	MANICHAEAN PUNCTUATION FLEURON (U+10AF1)	f090abb1
𐫲	MANICHAEAN PUNCTUATION DOUBLE DOT WITHIN DOT (U+10AF2)	f090abb2
𐫳	MANICHAEAN PUNCTUATION DOT WITHIN DOT (U+10AF3)	f090abb3
𐫴	MANICHAEAN PUNCTUATION DOT (U+10AF4)	f090abb4
𐫵	MANICHAEAN PUNCTUATION TWO DOTS (U+10AF5)	f090abb5
𐫶	MANICHAEAN PUNCTUATION LINE FILLER (U+10AF6)	f090abb6
𐬀	AVESTAN LETTER A (U+10B00)	f090ac80
𐬁	AVESTAN LETTER AA (U+10B01)	f090ac81
𐬂	AVESTAN LETTER AO (U+10B02)	f090ac82
𐬃	AVESTAN LETTER AAO (U+10B03)	f090ac83
𐬄	AVESTAN LETTER AN (U+10B04)	f090ac84
𐬅	AVESTAN LETTER AAN (U+10B05)	f090ac85
𐬆	AVESTAN LETTER AE (U+10B06)	f090ac86
𐬇	AVESTAN LETTER AEE (U+10B07)	f090ac87
𐬈	AVESTAN LETTER E (U+10B08)	f090ac88
𐬉	AVESTAN LETTER EE (U+10B09)	f090ac89
𐬊	AVESTAN LETTER O (U+10B0A)	f090ac8a
𐬋	AVESTAN LETTER OO (U+10B0B)	f090ac8b
𐬌	AVESTAN LETTER I (U+10B0C)	f090ac8c
𐬍	AVESTAN LETTER II (U+10B0D)	f090ac8d
𐬎	AVESTAN LETTER U (U+10B0E)	f090ac8e
𐬏	AVESTAN LETTER UU (U+10B0F)	f090ac8f
𐬐	AVESTAN LETTER KE (U+10B10)	f090ac90
𐬑	AVESTAN LETTER XE (U+10B11)	f090ac91
𐬒	AVESTAN LETTER XYE (U+10B12)	f090ac92
𐬓	AVESTAN LETTER XVE (U+10B13)	f090ac93
𐬔	AVESTAN LETTER GE (U+10B14)	f090ac94
𐬕	AVESTAN LETTER GGE (U+10B15)	f090ac95
𐬖	AVESTAN LETTER GHE (U+10B16)	f090ac96
𐬗	AVESTAN LETTER CE (U+10B17)	f090ac97
𐬘	AVESTAN LETTER JE (U+10B18)	f090ac98
𐬙	AVESTAN LETTER TE (U+10B19)	f090ac99
𐬚	AVESTAN LETTER THE (U+10B1A)	f090ac9a
𐬛	AVESTAN LETTER DE (U+10B1B)	f090ac9b
𐬜	AVESTAN LETTER DHE (U+10B1C)	f090ac9c
𐬝	AVESTAN LETTER TTE (U+10B1D)	f090ac9d
𐬞	AVESTAN LETTER PE (U+10B1E)	f090ac9e
𐬟	AVESTAN LETTER FE (U+10B1F)	f090ac9f
𐬠	AVESTAN LETTER BE (U+10B20)	f090aca0
𐬡	AVESTAN LETTER BHE (U+10B21)	f090aca1
𐬢	AVESTAN LETTER NGE (U+10B22)	f090aca2
𐬣	AVESTAN LETTER NGYE (U+10B23)	f090aca3
𐬤	AVESTAN LETTER NGVE (U+10B24)	f090aca4
𐬥	AVESTAN LETTER NE (U+10B25)	f090aca5
𐬦	AVESTAN LETTER NYE (U+10B26)	f090aca6
𐬧	AVESTAN LETTER NNE (U+10B27)	f090aca7
𐬨	AVESTAN LETTER ME (U+10B28)	f090aca8
𐬩	AVESTAN LETTER HME (U+10B29)	f090aca9
𐬪	AVESTAN LETTER YYE (U+10B2A)	f090acaa
𐬫	AVESTAN LETTER YE (U+10B2B)	f090acab
𐬬	AVESTAN LETTER VE (U+10B2C)	f090acac
𐬭	AVESTAN LETTER RE (U+10B2D)	f090acad
𐬮	AVESTAN LETTER LE (U+10B2E)	f090acae
𐬯	AVESTAN LETTER SE (U+10B2F)	f090acaf
𐬰	AVESTAN LETTER ZE (U+10B30)	f090acb0
𐬱	AVESTAN LETTER SHE (U+10B31)	f090acb1
𐬲	AVESTAN LETTER ZHE (U+10B32)	f090acb2
𐬳	AVESTAN LETTER SHYE (U+10B33)	f090acb3
𐬴	AVESTAN LETTER SSHE (U+10B34)	f090acb4
𐬵	AVESTAN LETTER HE (U+10B35)	f090acb5
𐬹	AVESTAN ABBREVIATION MARK (U+10B39)	f090acb9
𐬺	TINY TWO DOTS OVER ONE DOT PUNCTUATION (U+10B3A)	f090acba
𐬻	SMALL TWO DOTS OVER ONE DOT PUNCTUATION (U+10B3B)	f090acbb
𐬼	LARGE TWO DOTS OVER ONE DOT PUNCTUATION (U+10B3C)	f090acbc
𐬽	LARGE ONE DOT OVER TWO DOTS PUNCTUATION (U+10B3D)	f090acbd
𐬾	LARGE TWO RINGS OVER ONE RING PUNCTUATION (U+10B3E)	f090acbe
𐬿	LARGE ONE RING OVER TWO RINGS PUNCTUATION (U+10B3F)	f090acbf
𐭀	INSCRIPTIONAL PARTHIAN LETTER ALEPH (U+10B40)	f090ad80
𐭁	INSCRIPTIONAL PARTHIAN LETTER BETH (U+10B41)	f090ad81
𐭂	INSCRIPTIONAL PARTHIAN LETTER GIMEL (U+10B42)	f090ad82
𐭃	INSCRIPTIONAL PARTHIAN LETTER DALETH (U+10B43)	f090ad83
𐭄	INSCRIPTIONAL PARTHIAN LETTER HE (U+10B44)	f090ad84
𐭅	INSCRIPTIONAL PARTHIAN LETTER WAW (U+10B45)	f090ad85
𐭆	INSCRIPTIONAL PARTHIAN LETTER ZAYIN (U+10B46)	f090ad86
𐭇	INSCRIPTIONAL PARTHIAN LETTER HETH (U+10B47)	f090ad87
𐭈	INSCRIPTIONAL PARTHIAN LETTER TETH (U+10B48)	f090ad88
𐭉	INSCRIPTIONAL PARTHIAN LETTER YODH (U+10B49)	f090ad89
𐭊	INSCRIPTIONAL PARTHIAN LETTER KAPH (U+10B4A)	f090ad8a
𐭋	INSCRIPTIONAL PARTHIAN LETTER LAMEDH (U+10B4B)	f090ad8b
𐭌	INSCRIPTIONAL PARTHIAN LETTER MEM (U+10B4C)	f090ad8c
𐭍	INSCRIPTIONAL PARTHIAN LETTER NUN (U+10B4D)	f090ad8d
𐭎	INSCRIPTIONAL PARTHIAN LETTER SAMEKH (U+10B4E)	f090ad8e
𐭏	INSCRIPTIONAL PARTHIAN LETTER AYIN (U+10B4F)	f090ad8f
𐭐	INSCRIPTIONAL PARTHIAN LETTER PE (U+10B50)	f090ad90
𐭑	INSCRIPTIONAL PARTHIAN LETTER SADHE (U+10B51)	f090ad91
𐭒	INSCRIPTIONAL PARTHIAN LETTER QOPH (U+10B52)	f090ad92
𐭓	INSCRIPTIONAL PARTHIAN LETTER RESH (U+10B53)	f090ad93
𐭔	INSCRIPTIONAL PARTHIAN LETTER SHIN (U+10B54)	f090ad94
𐭕	INSCRIPTIONAL PARTHIAN LETTER TAW (U+10B55)	f090ad95
𐭘	INSCRIPTIONAL PARTHIAN NUMBER ONE (U+10B58)	f090ad98
𐭙	INSCRIPTIONAL PARTHIAN NUMBER TWO (U+10B59)	f090ad99
𐭚	INSCRIPTIONAL PARTHIAN NUMBER THREE (U+10B5A)	f090ad9a
𐭛	INSCRIPTIONAL PARTHIAN NUMBER FOUR (U+10B5B)	f090ad9b
𐭜	INSCRIPTIONAL PARTHIAN NUMBER TEN (U+10B5C)	f090ad9c
𐭝	INSCRIPTIONAL PARTHIAN NUMBER TWENTY (U+10B5D)	f090ad9d
𐭞	INSCRIPTIONAL PARTHIAN NUMBER ONE HUNDRED (U+10B5E)	f090ad9e
𐭟	INSCRIPTIONAL PARTHIAN NUMBER ONE THOUSAND (U+10B5F)	f090ad9f
𐭠	INSCRIPTIONAL PAHLAVI LETTER ALEPH (U+10B60)	f090ada0
𐭡	INSCRIPTIONAL PAHLAVI LETTER BETH (U+10B61)	f090ada1
𐭢	INSCRIPTIONAL PAHLAVI LETTER GIMEL (U+10B62)	f090ada2
𐭣	INSCRIPTIONAL PAHLAVI LETTER DALETH (U+10B63)	f090ada3
𐭤	INSCRIPTIONAL PAHLAVI LETTER HE (U+10B64)	f090ada4
𐭥	INSCRIPTIONAL PAHLAVI LETTER WAW-AYIN-RESH (U+10B65)	f090ada5
𐭦	INSCRIPTIONAL PAHLAVI LETTER ZAYIN (U+10B66)	f090ada6
𐭧	INSCRIPTIONAL PAHLAVI LETTER HETH (U+10B67)	f090ada7
𐭨	INSCRIPTIONAL PAHLAVI LETTER TETH (U+10B68)	f090ada8
𐭩	INSCRIPTIONAL PAHLAVI LETTER YODH (U+10B69)	f090ada9
𐭪	INSCRIPTIONAL PAHLAVI LETTER KAPH (U+10B6A)	f090adaa
𐭫	INSCRIPTIONAL PAHLAVI LETTER LAMEDH (U+10B6B)	f090adab
𐭬	INSCRIPTIONAL PAHLAVI LETTER MEM-QOPH (U+10B6C)	f090adac
𐭭	INSCRIPTIONAL PAHLAVI LETTER NUN (U+10B6D)	f090adad
𐭮	INSCRIPTIONAL PAHLAVI LETTER SAMEKH (U+10B6E)	f090adae
𐭯	INSCRIPTIONAL PAHLAVI LETTER PE (U+10B6F)	f090adaf
𐭰	INSCRIPTIONAL PAHLAVI LETTER SADHE (U+10B70)	f090adb0
𐭱	INSCRIPTIONAL PAHLAVI LETTER SHIN (U+10B71)	f090adb1
𐭲	INSCRIPTIONAL PAHLAVI LETTER TAW (U+10B72)	f090adb2
𐭸	INSCRIPTIONAL PAHLAVI NUMBER ONE (U+10B78)	f090adb8
𐭹	INSCRIPTIONAL PAHLAVI NUMBER TWO (U+10B79)	f090adb9
𐭺	INSCRIPTIONAL PAHLAVI NUMBER THREE (U+10B7A)	f090adba
𐭻	INSCRIPTIONAL PAHLAVI NUMBER FOUR (U+10B7B)	f090adbb
𐭼	INSCRIPTIONAL PAHLAVI NUMBER TEN (U+10B7C)	f090adbc
𐭽	INSCRIPTIONAL PAHLAVI NUMBER TWENTY (U+10B7D)	f090adbd
𐭾	INSCRIPTIONAL PAHLAVI NUMBER ONE HUNDRED (U+10B7E)	f090adbe
𐭿	INSCRIPTIONAL PAHLAVI NUMBER ONE THOUSAND (U+10B7F)	f090adbf
𐮀	PSALTER PAHLAVI LETTER ALEPH (U+10B80)	f090ae80
𐮁	PSALTER PAHLAVI LETTER BETH (U+10B81)	f090ae81
𐮂	PSALTER PAHLAVI LETTER GIMEL (U+10B82)	f090ae82
𐮃	PSALTER PAHLAVI LETTER DALETH (U+10B83)	f090ae83
𐮄	PSALTER PAHLAVI LETTER HE (U+10B84)	f090ae84
𐮅	PSALTER PAHLAVI LETTER WAW-AYIN-RESH (U+10B85)	f090ae85
𐮆	PSALTER PAHLAVI LETTER ZAYIN (U+10B86)	f090ae86
𐮇	PSALTER PAHLAVI LETTER HETH (U+10B87)	f090ae87
𐮈	PSALTER PAHLAVI LETTER YODH (U+10B88)	f090ae88
𐮉	PSALTER PAHLAVI LETTER KAPH (U+10B89)	f090ae89
𐮊	PSALTER PAHLAVI LETTER LAMEDH (U+10B8A)	f090ae8a
𐮋	PSALTER PAHLAVI LETTER MEM-QOPH (U+10B8B)	f090ae8b
𐮌	PSALTER PAHLAVI LETTER NUN (U+10B8C)	f090ae8c
𐮍	PSALTER PAHLAVI LETTER SAMEKH (U+10B8D)	f090ae8d
𐮎	PSALTER PAHLAVI LETTER PE (U+10B8E)	f090ae8e
𐮏	PSALTER PAHLAVI LETTER SADHE (U+10B8F)	f090ae8f
𐮐	PSALTER PAHLAVI LETTER SHIN (U+10B90)	f090ae90
𐮑	PSALTER PAHLAVI LETTER TAW (U+10B91)	f090ae91
𐮙	PSALTER PAHLAVI SECTION MARK (U+10B99)	f090ae99
𐮚	PSALTER PAHLAVI TURNED SECTION MARK (U+10B9A)	f090ae9a
𐮛	PSALTER PAHLAVI FOUR DOTS WITH CROSS (U+10B9B)	f090ae9b
𐮜	PSALTER PAHLAVI FOUR DOTS WITH DOT (U+10B9C)	f090ae9c
𐮩	PSALTER PAHLAVI NUMBER ONE (U+10BA9)	f090aea9
𐮪	PSALTER PAHLAVI NUMBER TWO (U+10BAA)	f090aeaa
𐮫	PSALTER PAHLAVI NUMBER THREE (U+10BAB)	f090aeab
𐮬	PSALTER PAHLAVI NUMBER FOUR (U+10BAC)	f090aeac
𐮭	PSALTER PAHLAVI NUMBER TEN (U+10BAD)	f090aead
𐮮	PSALTER PAHLAVI NUMBER TWENTY (U+10BAE)	f090aeae
𐮯	PSALTER PAHLAVI NUMBER ONE HUNDRED (U+10BAF)	f090aeaf
𐰀	OLD TURKIC LETTER ORKHON A (U+10C00)	f090b080
𐰁	OLD TURKIC LETTER YENISEI A (U+10C01)	f090b081
𐰂	OLD TURKIC LETTER YENISEI AE (U+10C02)	f090b082
𐰃	OLD TURKIC LETTER ORKHON I (U+10C03)	f090b083
𐰄	OLD TURKIC LETTER YENISEI I (U+10C04)	f090b084
𐰅	OLD TURKIC LETTER YENISEI E (U+10C05)	f090b085
𐰆	OLD TURKIC LETTER ORKHON O (U+10C06)	f090b086
𐰇	OLD TURKIC LETTER ORKHON OE (U+10C07)	f090b087
𐰈	OLD TURKIC LETTER YENISEI OE (U+10C08)	f090b088
𐰉	OLD TURKIC LETTER ORKHON AB (U+10C09)	f090b089
𐰊	OLD TURKIC LETTER YENISEI AB (U+10C0A)	f090b08a
𐰋	OLD TURKIC LETTER ORKHON AEB (U+10C0B)	f090b08b
𐰌	OLD TURKIC LETTER YENISEI AEB (U+10C0C)	f090b08c
